
Processing benchmark.


Configuration for benchmark run:

	testSize: 1000
	testIterations: 100
Cache loaded with 1000 items in 1.102750 ms.

iter#		end time	elapsed time
1		23:36:30	0.789958
2		23:36:30	0.004875
3		23:36:30	0.003625
4		23:36:30	0.004917
5		23:36:30	0.002500
6		23:36:30	0.002250
7		23:36:30	0.002334
8		23:36:30	0.002042
9		23:36:30	0.001958
10		23:36:30	0.003750
11		23:36:30	0.001916
12		23:36:30	0.001416
13		23:36:30	0.001750
14		23:36:30	0.001292
15		23:36:30	0.009166
16		23:36:30	0.002125
17		23:36:30	0.003125
18		23:36:30	0.040959
19		23:36:30	0.002000
20		23:36:30	0.001708
21		23:36:30	0.002042
22		23:36:30	0.001625
23		23:36:30	0.001750
24		23:36:30	0.001750
25		23:36:30	0.001709
26		23:36:30	0.001958
27		23:36:30	0.001833
28		23:36:30	0.001667
29		23:36:30	0.001500
30		23:36:30	0.001542
31		23:36:30	0.001833
32		23:36:30	0.001834
33		23:36:30	0.001667
34		23:36:30	0.001542
35		23:36:30	0.001250
36		23:36:30	0.001666
37		23:36:30	0.001875
38		23:36:30	0.001416
39		23:36:30	0.001666
40		23:36:30	0.001625
41		23:36:30	0.008625
42		23:36:30	0.001500
43		23:36:30	0.001750
44		23:36:30	0.001417
45		23:36:30	0.001667
46		23:36:30	0.002750
47		23:36:30	0.001792
48		23:36:30	0.001708
49		23:36:30	0.001625
50		23:36:30	0.001583
51		23:36:30	0.001750
52		23:36:30	0.001709
53		23:36:30	0.001708
54		23:36:30	0.001625
55		23:36:30	0.001417
56		23:36:30	0.001584
57		23:36:30	0.001667
58		23:36:30	0.001417
59		23:36:30	0.001500
60		23:36:30	0.001250
61		23:36:30	0.001500
62		23:36:30	0.001625
63		23:36:30	0.001709
64		23:36:30	0.001791
65		23:36:30	0.013542
66		23:36:30	0.002416
67		23:36:30	0.002000
68		23:36:30	0.003333
69		23:36:30	0.001500
70		23:36:30	0.001375
71		23:36:30	0.002083
72		23:36:30	0.001500
73		23:36:30	0.001542
74		23:36:30	0.002000
75		23:36:30	0.001458
76		23:36:30	0.001875
77		23:36:30	0.001625
78		23:36:30	0.001916
79		23:36:30	0.001667
80		23:36:30	0.001916
81		23:36:30	0.001375
82		23:36:30	0.001333
83		23:36:30	0.002250
84		23:36:30	0.001750
85		23:36:30	0.001750
86		23:36:30	0.001750
87		23:36:30	0.001708
88		23:36:30	0.001625
89		23:36:30	0.001666
90		23:36:30	0.001750
91		23:36:30	0.001375
92		23:36:30	0.002333
93		23:36:30	0.001542
94		23:36:30	0.038333
95		23:36:30	0.001750
96		23:36:30	0.001792
97		23:36:30	0.002250
98		23:36:30	0.003000
99		23:36:30	0.001292
100		23:36:30	0.001500

Aggregated statistics:
avg		min		max
0.010780	0.001250	0.789958

Cache cleared in 0.126250 ms.

Finished processing benchmark.


End of tests.
